  Issue key  Summary  Issue Type              Client                                  Project
0   JBT-155        1         NaN          HSBC GROUP  0011213212 - HBMX Migration to AWS Wave
1   JBT-154        2         NaN      BANCO SABADELL         MX-BK-AS-VZ Apoyo Estructural F1
2   JBT-153        3         NaN      BANCO SABADELL         MX-BK-AS-VZ Apoyo Estructural F1
3   JBT-152        4         NaN                 SAP                   9940199755 SAP MCD HEC
4   JBT-151        5         NaN                 SAP                   9940199755 SAP MCD HEC
5   JBT-150        6         NaN                 SAP                   9940199755 SAP MCD HEC
6   JBT-149        7         NaN  Accenture Software         APP Product Engineering Services
7   JBT-148        8         NaN  Accenture Software         APP Product Engineering Services
8   JBT-147        9         NaN  Accenture Software         APP Product Engineering Services
9   JBT-146       10         NaN    CONSUMERS ENERGY                                 10970669
